2020/11/09 11:31:25 INFO  - jmeter.util.JMeterUtils: Setting Locale to zh_CN 
2020/11/09 11:31:26 INFO  - jmeter.JMeter: Loading system properties from: E:\workspace\zidong\target\jmeter\bin\system.properties 
2020/11/09 11:31:26 INFO  - jmeter.JMeter: Copyright (c) 1998-2016 The Apache Software Foundation 
2020/11/09 11:31:26 INFO  - jmeter.JMeter: Version 3.1 r1770033 
2020/11/09 11:31:26 INFO  - jmeter.JMeter: java.version=1.8.0_201 
2020/11/09 11:31:26 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2020/11/09 11:31:26 INFO  - jmeter.JMeter: os.name=Windows 10 
2020/11/09 11:31:26 INFO  - jmeter.JMeter: os.arch=amd64 
2020/11/09 11:31:26 INFO  - jmeter.JMeter: os.version=10.0 
2020/11/09 11:31:26 INFO  - jmeter.JMeter: file.encoding=GBK 
2020/11/09 11:31:26 INFO  - jmeter.JMeter: Max memory     =514850816 
2020/11/09 11:31:26 INFO  - jmeter.JMeter: Available Processors =4 
2020/11/09 11:31:26 INFO  - jmeter.JMeter: Default Locale=中文 (中国) 
2020/11/09 11:31:26 INFO  - jmeter.JMeter: JMeter  Locale=中文 (中国) 
2020/11/09 11:31:26 INFO  - jmeter.JMeter: JMeterHome=E:\workspace\zidong\target\jmeter 
2020/11/09 11:31:26 INFO  - jmeter.JMeter: user.dir  =E:\workspace\zidong\target\jmeter\bin 
2020/11/09 11:31:26 INFO  - jmeter.JMeter: PWD       =E:\workspace\zidong\target\jmeter\bin 
2020/11/09 11:31:26 INFO  - jmeter.JMeter: IP: 172.16.17.96 Name: DESKTOP-I1LLFKH FullName: 172.16.17.96 
2020/11/09 11:31:26 INFO  - jmeter.services.FileServer: Default base='E:\workspace\zidong\target\jmeter\bin' 
2020/11/09 11:31:26 INFO  - jmeter.services.FileServer: Set new base='E:\workspace\zidong\target\jmeter\testFiles' 
2020/11/09 11:31:26 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2020/11/09 11:31:26 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2020/11/09 11:31:26 INFO  - jmeter.save.SaveService: Using SaveService properties version 5.0 
2020/11/09 11:31:26 WARN  - jmeter.save.SaveService: Bad _version - expected 3.1, found 5.0. 
2020/11/09 11:31:26 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2020/11/09 11:31:26 INFO  - jmeter.save.SaveService: Loading file: E:\workspace\zidong\target\jmeter\testFiles\interface.jmx 
2020/11/09 11:31:26 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2020/11/09 11:31:26 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2020/11/09 11:31:26 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2020/11/09 11:31:26 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2020/11/09 11:31:26 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2020/11/09 11:31:26 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/css is org.apache.jmeter.protocol.http.parser.CssParser 
2020/11/09 11:31:26 INFO  - jmeter.JMeter: Creating summariser <summary> 
2020/11/09 11:31:26 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2020/11/09 11:31:26 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2020/11/09 11:31:26 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2020/11/09 11:31:26 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2020/11/09 11:31:26 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2020/11/09 11:31:27 INFO  - jmeter.JMeter: 正在运行的测试 (1604892687086) 
2020/11/09 11:31:27 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : 线程组 
2020/11/09 11:31:27 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group 线程组. 
2020/11/09 11:31:27 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2020/11/09 11:31:27 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2020/11/09 11:31:27 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2020/11/09 11:31:27 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2020/11/09 11:31:27 INFO  - jmeter.threads.JMeterThread: Thread started: 线程组 1-1 
2020/11/09 11:31:27 INFO  - jmeter.protocol.http.sampler.HTTPHCAbstractImpl: Local host = DESKTOP-I1LLFKH 
2020/11/09 11:31:27 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: HTTP request retry count = 0 
2020/11/09 11:31:27 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2020/11/09 11:31:27 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to utf-8 
2020/11/09 11:31:27 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2020/11/09 11:31:27 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
2020/11/09 11:31:28 INFO  - jmeter.threads.JMeterThread: Thread is done: 线程组 1-1 
2020/11/09 11:31:28 INFO  - jmeter.threads.JMeterThread: Thread finished: 线程组 1-1 
2020/11/09 11:31:28 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2020/11/09 11:31:28 INFO  - jmeter.reporters.Summariser: summary =      3 in 00:00:01 =    2.1/s Avg:   142 Min:    66 Max:   287 Err:     0 (0.00%) 
